name,place_code,url,kana
岡見駅,shimane/A3203/A320301/R1945,https://tabelog.com/shimane/A3203/A320301/R1945/rstLst/,おかけんえき
出雲三成駅,shimane/A3203/A320301/R727,https://tabelog.com/shimane/A3203/A320301/R727/rstLst/,いずもみつなりえき
波根駅,shimane/A3203/A320302/R7999,https://tabelog.com/shimane/A3203/A320302/R7999/rstLst/,なみねえき
久手駅,shimane/A3203/A320302/R3478,https://tabelog.com/shimane/A3203/A320302/R3478/rstLst/,きゅうてえき
大田市駅,shimane/A3203/A320302/R1768,https://tabelog.com/shimane/A3203/A320302/R1768/rstLst/,おおたしえき
静間駅,shimane/A3203/A320302/R4608,https://tabelog.com/shimane/A3203/A320302/R4608/rstLst/,せいかんえき
五十猛駅,shimane/A3203/A320302/R764,https://tabelog.com/shimane/A3203/A320302/R764/rstLst/,ごじゅうたけしえき
仁万駅,shimane/A3203/A320302/R7656,https://tabelog.com/shimane/A3203/A320302/R7656/rstLst/,ひとしまんえき
馬路駅,shimane/A3203/A320302/R9209,https://tabelog.com/shimane/A3203/A320302/R9209/rstLst/,うまみちえき
湯里駅,shimane/A3203/A320302/R10359,https://tabelog.com/shimane/A3203/A320302/R10359/rstLst/,ゆさとえき
温泉津駅,shimane/A3203/A320302/R10388,https://tabelog.com/shimane/A3203/A320302/R10388/rstLst/,おんせんつえき
石見福光駅,shimane/A3203/A320302/R1119,https://tabelog.com/shimane/A3203/A320302/R1119/rstLst/,いわみふくみつえき
黒松駅,shimane/A3203/A320304/R3613,https://tabelog.com/shimane/A3203/A320304/R3613/rstLst/,くろまつえき
浅利駅,shimane/A3203/A320304/R259,https://tabelog.com/shimane/A3203/A320304/R259/rstLst/,あさりえき
江津駅,shimane/A3203/A320304/R3836,https://tabelog.com/shimane/A3203/A320304/R3836/rstLst/,ごうつえき
都野津駅,shimane/A3203/A320304/R6404,https://tabelog.com/shimane/A3203/A320304/R6404/rstLst/,みやこのつえき
敬川駅,shimane/A3203/A320304/R1376,https://tabelog.com/shimane/A3203/A320304/R1376/rstLst/,たかしかわえき
波子駅,shimane/A3203/A320304/R7871,https://tabelog.com/shimane/A3203/A320304/R7871/rstLst/,なみこえき
石見横田駅,shimane/A3204/A320401/R1122,https://tabelog.com/shimane/A3204/A320401/R1122/rstLst/,いわみよこたえき
本俣賀駅,shimane/A3204/A320401/R9134,https://tabelog.com/shimane/A3204/A320401/R9134/rstLst/,ほんまたがえき
益田駅,shimane/A3204/A320401/R9221,https://tabelog.com/shimane/A3204/A320401/R9221/rstLst/,ますだえき
鎌手駅,shimane/A3204/A320401/R2581,https://tabelog.com/shimane/A3204/A320401/R2581/rstLst/,かまてえき
石見津田駅,shimane/A3204/A320401/R1118,https://tabelog.com/shimane/A3204/A320401/R1118/rstLst/,いわみつだえき
戸田小浜駅,shimane/A3204/A320401/R6749,https://tabelog.com/shimane/A3204/A320401/R6749/rstLst/,とだおばまえき
飯浦駅,shimane/A3204/A320401/R549,https://tabelog.com/shimane/A3204/A320401/R549/rstLst/,めしうらえき
津和野駅,shimane/A3204/A320402/R6459,https://tabelog.com/shimane/A3204/A320402/R6459/rstLst/,つわのえき
青野山駅,shimane/A3204/A320402/R76,https://tabelog.com/shimane/A3204/A320402/R76/rstLst/,あおのやまえき
日原駅,shimane/A3204/A320402/R7610,https://tabelog.com/shimane/A3204/A320402/R7610/rstLst/,ひはらえき
青原駅,shimane/A3204/A320402/R80,https://tabelog.com/shimane/A3204/A320402/R80/rstLst/,あおはらえき
東青原駅,shimane/A3204/A320402/R8130,https://tabelog.com/shimane/A3204/A320402/R8130/rstLst/,ひがしあおはらえき
岡山,okayama,https://tabelog.com/okayama/,おかやま
岡山・吉備,okayama/A3301,https://tabelog.com/okayama/A3301/,おかやま・きび
倉敷・笠岡・井原,okayama/A3302,https://tabelog.com/okayama/A3302/,くらしき・かさおか・いはら
高梁・蒜山高原,okayama/A3303,https://tabelog.com/okayama/A3303/,たかはし・ひるやまこうげん
津山・奥津・美作,okayama/A3304,https://tabelog.com/okayama/A3304/,つやま・おくつ・みまさか
牛窓・備前,okayama/A3305,https://tabelog.com/okayama/A3305/,うしまど・びぜん
